nome,data,emails_enviados,aberturas,cliques,conversoes,receita,status,crm
Black Friday 2024,2024-11-29,15000,4500,890,125,15750.00,completed,edrone
Cyber Monday Especial,2024-12-02,12000,3840,720,98,12250.00,active,edrone
Newsletter Semanal #45,2024-11-25,8500,2550,425,45,5625.00,completed,edrone
Lançamento Produto X,2024-11-20,10000,3500,1200,180,27000.00,completed,sendinpulse
Carrinho Abandonado - Nov,2024-11-28,5000,2000,650,85,10625.00,active,sendinpulse
Reengajamento Q4,2024-11-15,20000,5000,800,95,11875.00,completed,rdstation
Promoção Relâmpago,2024-12-01,7500,2625,525,72,9000.00,active,rdstation
Boas Vindas - Novos Leads,2024-11-22,3000,1350,405,68,8500.00,completed,rdstation
Webinar Gratuito,2024-11-18,6000,2400,960,145,18125.00,completed,sendinpulse
Desconto Exclusivo VIP,2024-11-30,2500,1500,600,95,14250.00,active,edrone
Automação Carrinho Abandonado,2024-10-15,8000,3200,1100,150,18750.00,active,edrone
Fluxo Boas-Vindas Outubro,2024-10-10,12000,5400,1800,220,27500.00,completed,sendinpulse
Newsletter Outubro #42,2024-10-20,9000,2700,540,60,7500.00,completed,edrone
Promoção Dia das Crianças,2024-10-12,11000,3850,770,105,13125.00,completed,rdstation
Automação Pós-Compra,2024-10-25,6500,2925,975,130,16250.00,active,sendinpulse
Campanha Halloween,2024-10-31,8500,2975,595,80,10000.00,completed,rdstation
Fluxo Reengajamento Set,2024-09-15,15000,4500,1200,145,18125.00,completed,edrone
Newsletter Setembro #38,2024-09-20,7500,2250,450,50,6250.00,completed,sendinpulse
Lançamento Coleção Outono,2024-09-10,13000,4550,1365,195,24375.00,completed,rdstation
Automação Aniversário,2024-09-25,5000,2500,875,120,15000.00,active,edrone
